[Subject]	
[Date]	01/01/2007
[Time]	00:56:52
[Channels]	33
[Rate]	500.000000
[Type]	Average
[Points]	751
[Xmin]	-200.00000
[Sweeps]	110
[Accepted]	38
[Rejected]	72
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[     FP1]	[     FP2]	[      F3]	[      F4]	[      C3]	[      C4]	[      P3]	[      P4]	[      O1]	[      O2]	[      F7]	[      F8]	[      T3]	[      T4]	[      T5]	[      T6]	[      CZ]	[      FZ]	[      PZ]	[     FCZ]	[     CPZ]	[     CP3]	[     CP4]	[     FC3]	[     FC4]	[     TP7]	[     TP8]	[     FPZ]	[      OZ]	[     FT7]	[     FT8]	[      A1]	[     BP1]	
[Electrode XUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Electrode YUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Average Data]
    -0.8250	    -0.1701	    -1.0334	     0.5153	    -2.1571	     0.2740	    -2.1688	    -0.7653	    -2.6382	    -2.6740	    -1.3159	     0.3184	     0.3686	     1.2978	    -2.6404	    -1.7322	    -0.2040	    -0.1175	    -1.0930	     0.0563	    -0.1712	    -2.2255	    -0.2600	    -1.7152	     0.6642	    -2.6962	    -0.3544	    -0.3911	    -2.6380	    -0.8809	     0.9778	     0.8565	     0.2620	
    -0.5443	     0.0370	    -0.4978	     0.7694	    -1.3046	     0.4763	    -1.4834	    -0.4422	    -2.1959	    -2.1925	    -1.0131	     0.6682	    -0.4086	     2.6930	    -2.8592	    -1.3573	     0.1693	     0.2864	    -0.6413	     0.5253	     0.1825	    -1.5213	    -0.0114	    -0.8972	     0.8658	    -2.8271	    -0.0234	    -0.1292	    -2.1777	     0.7307	     1.5417	     0.9035	     1.0533	
    -0.5411	     0.0707	    -0.3786	     0.7278	    -0.7783	     0.4073	    -0.9948	    -0.3583	    -1.7128	    -1.6388	    -1.1025	     1.0203	    -1.1890	     2.6350	    -2.8702	    -1.2216	     0.2399	     0.3108	    -0.3385	     0.5567	     0.2538	    -1.0083	    -0.0741	    -0.4980	     0.7105	    -2.7950	    -0.0210	    -0.1127	    -1.6569	     0.6445	     1.5080	     0.7977	     1.0368	
    -0.6650	    -0.0321	    -0.5652	     0.5059	    -0.5344	     0.1932	    -0.6175	    -0.3787	    -1.3599	    -1.2302	    -1.3794	     1.1905	    -1.3239	     1.1974	    -2.3706	    -1.1589	     0.1128	     0.1131	    -0.1456	     0.2994	     0.1644	    -0.6617	    -0.2372	    -0.4541	     0.4078	    -2.3189	    -0.1755	    -0.2123	    -1.3165	    -0.7939	     1.0994	     0.6934	     0.9341	
    -0.6376	    -0.1293	    -0.6907	     0.2973	    -0.3328	    -0.0429	    -0.2505	    -0.4728	    -1.4344	    -1.3086	    -1.4586	     1.1066	    -1.2062	    -0.3068	    -1.4671	    -1.1471	    -0.0252	    -0.0414	    -0.0460	     0.0932	     0.0570	    -0.3488	    -0.3815	    -0.4165	     0.2086	    -1.4656	    -0.3559	    -0.1770	    -1.4287	    -2.0754	     0.6398	     0.6808	     1.1576	
    -0.4901	    -0.1654	    -0.6727	     0.1263	    -0.1540	    -0.3283	    -0.0262	    -0.7104	    -1.8469	    -1.7815	    -1.2978	     0.8744	    -1.4980	    -1.2024	    -0.5573	    -1.2781	    -0.2001	    -0.1378	    -0.1636	    -0.0550	    -0.1124	    -0.1213	    -0.5902	    -0.3270	     0.0298	    -0.5951	    -0.5818	    -0.0445	    -1.8647	    -2.2934	     0.2422	     0.6220	     1.6039	
    -0.4156	    -0.2109	    -0.6468	    -0.0337	    -0.0646	    -0.6311	     0.0412	    -0.9928	    -2.0657	    -2.0843	    -1.1080	     0.6101	    -2.1489	    -1.4463	     0.0191	    -1.4992	    -0.4142	    -0.2673	    -0.4279	    -0.2441	    -0.3477	    -0.0335	    -0.8458	    -0.2635	    -0.1953	    -0.0218	    -0.8108	    -0.0178	    -2.0733	    -1.5883	    -0.0943	     0.4800	     1.8266	
    -0.4901	    -0.2728	    -0.6037	    -0.1286	     0.0028	    -0.7738	     0.1016	    -1.0775	    -1.7700	    -1.8435	    -0.9622	     0.3537	    -2.4305	    -1.0095	     0.3179	    -1.5126	    -0.5091	    -0.3520	    -0.5722	    -0.3562	    -0.4708	     0.0442	    -0.9815	    -0.2306	    -0.3679	     0.2856	    -0.9818	    -0.0939	    -1.7745	    -0.5680	    -0.3813	     0.2338	     1.5286	
    -0.6486	    -0.3120	    -0.5574	    -0.1231	     0.0279	    -0.6883	     0.1636	    -0.8634	    -1.0626	    -1.1769	    -0.9473	     0.1113	    -1.8799	     0.0226	     0.4481	    -1.1565	    -0.4424	    -0.3331	    -0.5032	    -0.3350	    -0.4410	     0.1187	    -0.8890	    -0.2627	    -0.3757	     0.4268	    -0.9214	    -0.1762	    -1.0993	    -0.0214	    -0.5217	     0.0495	     1.1270	
    -0.8603	    -0.3309	    -0.5354	    -0.0204	    -0.0466	    -0.4813	     0.1275	    -0.5010	    -0.3834	    -0.4773	    -1.1598	    -0.0494	    -1.3192	     1.2876	     0.3736	    -0.5354	    -0.3436	    -0.2296	    -0.3699	    -0.2488	    -0.3446	     0.0991	    -0.6302	    -0.3569	    -0.2126	     0.3476	    -0.5245	    -0.2923	    -0.4123	    -0.2535	    -0.4166	     0.1436	     0.8643	
