[Subject]	
[Date]	01/01/2007
[Time]	00:56:52
[Channels]	33
[Rate]	500.000000
[Type]	Average
[Points]	751
[Xmin]	-200.00000
[Sweeps]	110
[Accepted]	40
[Rejected]	70
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[     FP1]	[     FP2]	[      F3]	[      F4]	[      C3]	[      C4]	[      P3]	[      P4]	[      O1]	[      O2]	[      F7]	[      F8]	[      T3]	[      T4]	[      T5]	[      T6]	[      CZ]	[      FZ]	[      PZ]	[     FCZ]	[     CPZ]	[     CP3]	[     CP4]	[     FC3]	[     FC4]	[     TP7]	[     TP8]	[     FPZ]	[      OZ]	[     FT7]	[     FT8]	[      A1]	[     BP1]	
[Electrode XUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Electrode YUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Average Data]
     0.9896	     1.0903	     0.8690	     1.1234	     0.0753	     0.3481	    -0.7139	    -1.1939	    -1.6751	    -1.7888	     0.2457	     0.4704	     1.9522	    -1.0857	    -1.1868	    -1.8954	     0.7939	     1.1853	    -0.5647	     1.3938	     0.7084	    -0.6509	    -0.4642	     0.4963	     0.8592	    -1.2350	    -1.0437	     0.9264	    -1.7313	     2.0003	     0.5586	    -0.3930	     2.2489	
     1.1289	     0.9242	     1.0829	     0.8820	     0.5179	    -0.0311	    -0.4114	    -1.3534	    -2.1110	    -2.1919	     0.5564	     0.1798	    -0.9274	    -2.1318	    -1.2963	    -2.1368	     0.8096	     1.2717	    -0.5386	     1.5063	     0.7270	    -0.3752	    -0.6914	     0.9642	     0.4487	    -1.3437	    -1.0452	     1.0113	    -2.1784	     2.6917	    -0.1053	    -0.2604	     1.9650	
     1.2138	     0.7767	     1.1879	     0.8313	     0.7354	    -0.0579	    -0.2177	    -1.3675	    -2.4493	    -2.4482	     0.6398	     0.0644	    -3.7199	    -2.5431	    -1.2531	    -2.2158	     0.8454	     1.3373	    -0.4596	     1.6084	     0.7784	    -0.2172	    -0.7138	     1.1892	     0.3846	    -1.3020	    -1.0974	     1.0396	    -2.4950	     2.8243	    -0.5247	    -0.1658	     2.0403	
     1.1922	     0.7141	     1.1186	     0.8917	     0.5760	     0.0635	    -0.2505	    -1.2997	    -2.5878	    -2.4892	     0.4401	     0.1374	    -4.6065	    -2.3933	    -1.1547	    -2.2158	     0.8386	     1.3485	    -0.3829	     1.6062	     0.7777	    -0.2642	    -0.6624	     1.0201	     0.4912	    -1.1999	    -1.3626	     1.0135	    -2.5964	     2.0078	    -0.3712	    -0.2231	     1.6886	
     1.0343	     0.7178	     0.8541	     0.9058	     0.0977	     0.0680	    -0.5224	    -1.3005	    -2.8933	    -2.7403	     0.0825	     0.2119	    -3.4748	    -1.1491	    -1.1495	    -2.3559	     0.6598	     1.2419	    -0.4567	     1.4125	     0.6011	    -0.5309	    -0.7123	     0.5418	     0.4919	    -1.1850	    -1.6681	     0.9226	    -2.8571	     0.3053	     0.2956	    -0.4832	     0.8243	
     0.9337	     0.7551	     0.6671	     0.8768	    -0.2227	     0.0665	    -0.6573	    -1.2915	    -3.1079	    -2.9653	    -0.0896	     0.1515	    -1.2940	     0.6331	    -1.1093	    -2.5422	     0.4765	     1.0668	    -0.4879	     1.1770	     0.4245	    -0.6538	    -0.7443	     0.2005	     0.4450	    -1.1619	    -1.7143	     0.8556	    -3.0322	    -1.0857	     0.8611	    -0.7991	     0.4019	
     0.9769	     0.7595	     0.7282	     0.8216	    -0.1132	     0.1321	    -0.4658	    -1.1760	    -2.7406	    -2.6687	     0.0601	    -0.0534	    -0.0371	     1.4177	    -0.9826	    -2.6122	     0.4125	     0.9163	    -0.3322	     1.0004	     0.3672	    -0.4363	    -0.6467	     0.2318	     0.4517	    -1.0323	    -1.5548	     0.8608	    -2.6612	    -1.3718	     0.8067	    -0.9511	     1.0508	
     0.9665	     0.6470	     0.8042	     0.7069	     0.1454	     0.1976	    -0.1469	    -0.9361	    -1.7757	    -1.7546	     0.2315	    -0.2940	    -0.5020	     0.5385	    -0.7427	    -2.3522	     0.4162	     0.7614	    -0.0506	     0.8373	     0.4037	    -0.1017	    -0.4761	     0.3615	     0.4644	    -0.7484	    -1.3455	     0.8146	    -1.7030	    -1.2698	     0.3112	    -0.9153	     2.0879	
     0.7467	     0.3974	     0.6306	     0.5214	     0.1953	     0.2304	     0.0267	    -0.6500	    -0.7468	    -0.7621	     0.1473	    -0.5585	    -1.3111	    -1.1707	    -0.3188	    -1.7710	     0.4445	     0.5773	     0.2452	     0.6897	     0.4707	     0.0860	    -0.3062	     0.2639	     0.4338	    -0.3096	    -1.1093	     0.6082	    -0.6905	    -1.6848	    -0.2580	    -0.7290	     2.2988	
     0.3362	     0.0353	     0.2253	     0.2681	    -0.0662	     0.1760	    -0.0597	    -0.5286	    -0.3698	    -0.4038	    -0.2431	    -0.8647	    -1.4587	    -2.3337	     0.0292	    -1.3106	     0.3976	     0.3330	     0.3353	     0.5266	     0.4141	     0.0242	    -0.2824	    -0.0781	     0.3131	     0.0235	    -0.9260	     0.2096	    -0.3344	    -2.5296	    -0.7833	    -0.4556	     1.5299	
    -0.1973	    -0.4132	    -0.2322	    -0.0121	    -0.4224	     0.0404	    -0.2520	    -0.5785	    -0.4838	    -0.5021	    -0.7535	    -1.1181	    -1.1994	    -2.3032	     0.1350	    -1.1929	     0.2590	     0.0446	     0.2273	     0.3150	     0.2532	    -0.1502	    -0.3800	    -0.4804	     0.1052	     0.1099	    -0.8232	    -0.3037	    -0.4767	    -3.1317	    -1.1826	    -0.2887	     0.6679	
